country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Luxembourg; 1.23 ; 1.33 ; 1.35 ; 1.39 ; 1.45 ; 1.37 ; 1.43 ; 1.45 ; 1.61 ; 1.60 ; 1.39 
Denmark; 0.79 ; 0.86 ; 0.81 ; 0.91 ; 1.03 ; 0.87 ; 0.87 ; 0.93 ; 0.89 ; 1.06 ; 0.93 
Netherlands; 0.67 ; 0.74 ; 0.77 ; 0.83 ; 0.86 ; 0.80 ; 0.89 ; 0.97 ; 1.01 ; 1.00 ; 0.81 
Norway; 1.37 ; 1.56 ; 1.56 ; 1.42 ; 1.34 ; 1.12 ; 1.00 ; 1.07 ; 1.26 ; 1.15 ; 0.79 
Switzerland; 0.83 ; 0.82 ; 0.86 ; 0.86 ; 0.81 ; 0.88 ; 0.85 ; 0.88 ; 0.88 ; 0.88 ; 0.76 
Austria; 0.68 ; 0.79 ; 0.80 ; 0.83 ; 0.84 ; 0.84 ; 0.79 ; 0.88 ; 0.93 ; 0.96 ; 0.69 
Malta; 0.56 ; 0.61 ; 0.62 ; 0.66 ; 0.76 ; 0.74 ; 0.76 ; 1.09 ; 1.01 ; 1.00 ; 0.64 
Germany; 0.59 ; 0.75 ; 0.78 ; 0.79 ; 0.81 ; 0.80 ; 0.81 ; 0.82 ; 0.86 ; 0.84 ; 0.63 
Sweden; 0.68 ; 0.69 ; 0.65 ; 0.64 ; 0.59 ; 0.60 ; 0.65 ; 0.68 ; 0.67 ; 0.71 ; 0.60 
United Arab Emirates; 0.46 ; 0.70 ; 1.03 ; 1.02 ; 0.76 ; 0.31 ; 0.53 ; 0.62 ; 0.79 ; 0.75 ; 0.56 
Belgium; 0.72 ; 0.71 ; 0.75 ; 0.81 ; 0.80 ; 0.77 ; 0.75 ; 0.83 ; 0.82 ; 0.76 ; 0.54 
Hungary; 0.70 ; 0.69 ; 0.84 ; 0.82 ; 0.76 ; 0.84 ; 0.81 ; 0.73 ; 0.71 ; 0.69 ; 0.51 
Slovenia; 0.49 ; 0.47 ; 0.58 ; 0.41 ; 0.64 ; 0.68 ; 0.68 ; 0.77 ; 0.81 ; 0.77 ; 0.51 
Italy; 0.52 ; 0.56 ; 0.65 ; 0.66 ; 0.67 ; 0.65 ; 0.65 ; 0.66 ; 0.68 ; 0.73 ; 0.51 
Finland; 0.54 ; 0.60 ; 0.55 ; 0.56 ; 0.55 ; 0.53 ; 0.58 ; 0.64 ; 0.64 ; 0.65 ; 0.50 
Czechia; 0.37 ; 0.47 ; 0.47 ; 0.57 ; 0.54 ; 0.58 ; 0.63 ; 0.70 ; 0.67 ; 0.64 ; 0.48 
Korea, Rep.; 0.32 ; 0.34 ; 0.43 ; 0.42 ; 0.41 ; 0.43 ; 0.49 ; 0.52 ; 0.55 ; 0.48 ; 0.44 
Portugal; 0.03 ; 0.28 ; 0.41 ; 0.52 ; 0.44 ; 0.51 ; 0.58 ; 0.55 ; 0.62 ; 0.63 ; 0.44 
